5	GESTIÓN_LEADS	Mejorar la usabilidad y la experiencia del usuario (UX) en las vistas de gestión de leads mediante la refactorización de la presentación de la URL de LinkedIn y la estandarización de los campos de selección de datos (países, cargo/área, industria). El objetivo principal es simplificar la navegación y asegurar la coherencia y calidad de los datos mostrados.	t	2025-12-18	28	28	0	10	0	4	0	0	0	0	2	2025-11-28	24.00	2025-11-26	0
9	DBA_INSCRIPCIONES	Despliegue en el sistema Integra del nuevo modelo predictivo de propensión a inscripción desarrollado por Marketing, mejorando la calidad de Lead con nuevas variables para cálculo de probabilidad en tiempo real.	t	2025-12-23	0	0	0	0	0	0	0	0	0	0	7	2025-12-23	35.00	2025-12-11	0
1	TUTOR_VIRTUAL	Agregar un campo de llenado en la configuración de programa general en donde se puedan definir los créditos para el tutor virtual de acuerdo al programa y la versión.\r\n\r\nSe debe crear un nuevo módulo llamado Costo de Créditos, en el se mostrará la información de los paquetes, así como su cantidad de créditos, costo de paquete y del crédito individual, así como se tendrá la capacidad de modificar la información.\r\n\r\nEl botón editar debe abrir un modal en donde el usuario podrá ingresar los inputs que se deseen modificar, el costo total del paquete no es modificable, el monto se calculará en base a la cantidad de créditos y el costo individual por cada crédito.	t	2025-12-17	42	42	0	25	0	5	0	1	0	0	4	2025-12-01	32.00	2025-11-24	0
4	MIGRACIÓN_V5_V6	Migración de cuatro módulos esenciales del sistema Integra V4 hacia Integra V5 para consolidar operaciones antes de la cancelación definitiva de V4. \r\n\r\nMódulos a migrar: \r\n\r\n- Datos de Postulante \r\n\r\n- Subir Marcación\r\n\r\n- Marcación\r\n\r\n- Grupos de Marcación \r\n\r\nObjetivo: Centralizar todas las operaciones en IntegraV5, eliminar dependencia de V4, reducir costos operativos y aprovechar optimizaciones de la nueva versión	t	2025-12-17	35	35	0	30	5	6	0	0	0	0	5	2025-12-19	48.00	2025-12-15	1
3	AGENDA_COMERCIALV5V6	Aplicar una regla de negocio en la Agenda Comercial que filtre las opciones del campo “Montos Pago” para mostrar únicamente “Crédito” cuando en “Tipo de descuento” se seleccione un descuento mayor al 20%.	t	2025-12-17	62	62	0	20	3	3	0	2	0	0	5	2025-12-11	32.00	2025-12-05	0
10	AGENDA_COMERCIAL_V5	Descripción\r\n\r\nImplementar corrección en el sistema de Agenda Comercial para que interprete correctamente la información de certificaciones desde el documento Sílabo en Integra. Actualmente, los campos "Nombre de Certificación" e "Introducción Certificado" se visualizan como dos certificados separados cuando deberían ser un único certificado consolidado.\r\n\r\nObjetivo de Negocio:\r\n\r\nCorregir la visualización duplicada de certificaciones en la página web, mejorando la precisión de la información comercial presentada a los usuarios finales y reduciendo confusiones sobre la oferta académica real.\r\n\r\nCriterios de Éxito:\r\n\r\nCursos con N certificaciones en Integra muestren exactamente N certificaciones en Agenda Comercial (no 2N)\r\n\r\nVisualización integrada de nombre e introducción del certificado\r\n\r\nAplicación automática a todos los cursos existentes\r\n\r\nComponentes afectados:\r\n\r\nSistema Integra (Documento Sílabo)\r\n\r\nAgenda Comercial (Consumo de datos y visualización)\r\n\r\nPágina Web (Detalle de cursos)	t	2025-12-26	3	3	0	26	0	2	0	5	0	0	5	2025-12-23	16.00	2025-12-19	0
6	DISCREPANCIAS	Esta épica agrupa todas las actividades necesarias para analizar, corregir y alinear la visualización del porcentaje de avance entre el Portal del Alumno e Integra, garantizando que ambos sistemas reflejen datos consistentes y evitando reclamos futuros.\r\n\r\nObjetivo:\r\nCentralizar el proceso técnico para asegurar que la información de progreso académico sea exacta y homogénea en ambos sistemas.	t	2025-12-18	0	0	0	6	0	3	0	2	0	0	3	2025-12-16	9.00	2025-12-15	0
7	MONTO_PAGO	Se solicita la implementación de una nueva funcionalidad en el sistema Integra V5 denominada "Histórico de Monto Pago" que permita consultar y visualizar el registro histórico completo de precios de cada programa ofertado por BSG Institute. Esta funcionalidad estará disponible en el módulo de "Configuración de programas de capacitación" y permitirá filtrar información por periodo, país, pack y moneda, tanto para la modalidad de pago "Contado" como "Crédito", proporcionando acceso centralizado a los cambios de precios realizados a lo largo del tiempo.	t	2025-12-18	42	42	0	25	0	7	0	4	0	0	2	2025-12-04	32.00	2025-12-02	0
11	MIGRACIÓN_V5V6	Migración de cuatro módulos esenciales del sistema Integra V4 hacia Integra V5 para consolidar operaciones antes de la cancelación definitiva de V4. \r\n\r\nMódulos a migrar: \r\n\r\n- Datos de Postulante \r\n- Subir Marcación\r\n- Marcación\r\n- Grupos de Marcación \r\n\r\nObjetivo: Centralizar todas las operaciones en IntegraV5, eliminar dependencia de V4, reducir costos operativos y aprovechar optimizaciones de la nueva versión	t	2025-12-30	36	36	0	35	0	8	0	5	0	0	2	2025-12-20	45.00	2025-12-15	0
2	WEBINAR	Implementar mejoras integrales en los módulos de programación, control y confirmación de webinars, automatizando procesos clave y mejorando la experiencia de administradores y alumnos.	t	2025-12-17	21	21	0	80	10	8	0	17	0	0	4	2025-12-15	54.00	2025-12-01	1
